datetime,trend
2010-12-01 00:00:00,17.520836654589356
2010-12-01 01:00:00,18.0710522342995
2010-12-01 02:00:00,18.621267814009645
2010-12-01 03:00:00,19.17148339371979
2010-12-01 04:00:00,19.721698973429934
2010-12-01 05:00:00,20.27191455314008
2010-12-01 06:00:00,20.822130132850226
2010-12-01 07:00:00,21.37234571256037
2010-12-01 08:00:00,21.922561292270515
2010-12-01 09:00:00,22.47277687198066
2010-12-01 10:00:00,23.022992451690804
2010-12-01 11:00:00,23.57320803140095
2010-12-01 12:00:00,26.261666666666663
2010-12-01 13:00:00,26.32833333333333
2010-12-01 14:00:00,26.40833333333333
2010-12-01 15:00:00,26.524791666666662
2010-12-01 16:00:00,26.63208333333333
2010-12-01 17:00:00,26.737499999999994
2010-12-01 18:00:00,26.85229166666666
2010-12-01 19:00:00,26.939999999999994
2010-12-01 20:00:00,27.019583333333326
2010-12-01 21:00:00,27.109999999999992
2010-12-01 22:00:00,27.19645833333333
2010-12-01 23:00:00,27.257708333333326
2010-12-02 00:00:00,29.59749999999999
2010-12-02 01:00:00,31.94104166666666
2010-12-02 02:00:00,31.980416666666663
2010-12-02 03:00:00,31.996041666666667
2010-12-02 04:00:00,32.02104166666666
2010-12-02 05:00:00,34.19666666666666
2010-12-02 06:00:00,36.35208333333333
2010-12-02 07:00:00,36.34312499999999
2010-12-02 08:00:00,36.32749999999999
2010-12-02 09:00:00,36.30416666666666
2010-12-02 10:00:00,36.26895833333333
2010-12-02 11:00:00,36.224374999999995
2010-12-02 12:00:00,36.17520833333332
2010-12-02 13:00:00,36.12125
2010-12-02 14:00:00,36.08687499999999
2010-12-02 15:00:00,36.04854166666666
2010-12-02 16:00:00,35.978125000000006
2010-12-02 17:00:00,35.84166666666666
2010-12-02 18:00:00,35.676041666666656
2010-12-02 19:00:00,35.54229166666666
2010-12-02 20:00:00,35.454375000000006
2010-12-02 21:00:00,35.400208333333325
2010-12-02 22:00:00,35.335833333333326
2010-12-02 23:00:00,35.27770833333333
2010-12-03 00:00:00,32.95229166666667
2010-12-03 01:00:00,30.625416666666666
2010-12-03 02:00:00,30.589583333333334
2010-12-03 03:00:00,30.577708333333334
2010-12-03 04:00:00,30.563958333333332
2010-12-03 05:00:00,28.40541666666667
2010-12-03 06:00:00,26.263125000000006
2010-12-03 07:00:00,26.277291666666667
2010-12-03 08:00:00,26.299375
2010-12-03 09:00:00,26.323541666666664
2010-12-03 10:00:00,26.348333333333333
2010-12-03 11:00:00,26.374791666666667
2010-12-03 12:00:00,26.40083333333333
2010-12-03 13:00:00,26.43291666666666
2010-12-03 14:00:00,26.460208333333327
2010-12-03 15:00:00,26.45104166666666
2010-12-03 16:00:00,26.466041666666662
2010-12-03 17:00:00,26.528541666666662
2010-12-03 18:00:00,26.599999999999998
2010-12-03 19:00:00,26.67125
2010-12-03 20:00:00,26.722083333333334
2010-12-03 21:00:00,26.749583333333337
2010-12-03 22:00:00,26.768750000000004
2010-12-03 23:00:00,26.784374999999997
2010-12-04 00:00:00,26.781666666666663
2010-12-04 01:00:00,26.777291666666667
2010-12-04 02:00:00,26.783749999999998
2010-12-04 03:00:00,26.78833333333333
2010-12-04 04:00:00,26.791249999999994
2010-12-04 05:00:00,26.797083333333333
2010-12-04 06:00:00,26.79645833333333
2010-12-04 07:00:00,28.901875
2010-12-04 08:00:00,31.007291666666667
2010-12-04 09:00:00,31.001458333333332
2010-12-04 10:00:00,30.999999999999996
2010-12-04 11:00:00,31.004999999999995
2010-12-04 12:00:00,31.01520833333333
2010-12-04 13:00:00,31.02458333333333
2010-12-04 14:00:00,31.02541666666666
2010-12-04 15:00:00,31.032291666666662
2010-12-04 16:00:00,31.03687499999999
2010-12-04 17:00:00,31.040833333333328
2010-12-04 18:00:00,31.040624999999995
2010-12-04 19:00:00,31.042916666666663
2010-12-04 20:00:00,31.080416666666665
2010-12-04 21:00:00,31.128541666666663
2010-12-04 22:00:00,31.144999999999992
2010-12-04 23:00:00,31.147708333333334
2010-12-05 00:00:00,31.163749999999997
2010-12-05 01:00:00,31.179791666666667
2010-12-05 02:00:00,31.18375
2010-12-05 03:00:00,31.180208333333336
2010-12-05 04:00:00,31.177291666666665
2010-12-05 05:00:00,31.169791666666665
2010-12-05 06:00:00,31.165208333333332
2010-12-05 07:00:00,29.05395833333333
2010-12-05 08:00:00,26.938124999999996
2010-12-05 09:00:00,26.93083333333333
2010-12-05 10:00:00,26.917291666666664
2010-12-05 11:00:00,26.894791666666666
2010-12-05 12:00:00,26.860625000000002
2010-12-05 13:00:00,26.816458333333333
2010-12-05 14:00:00,26.7775
2010-12-05 15:00:00,26.75895833333333
2010-12-05 16:00:00,26.748124999999998
2010-12-05 17:00:00,26.754166666666666
2010-12-05 18:00:00,26.769999999999996
2010-12-05 19:00:00,26.748333333333328
2010-12-05 20:00:00,26.684166666666663
2010-12-05 21:00:00,26.623749999999994
2010-12-05 22:00:00,26.61645833333333
2010-12-05 23:00:00,26.631874999999997
2010-12-06 00:00:00,26.64375
2010-12-06 01:00:00,26.659583333333337
2010-12-06 02:00:00,26.678125
2010-12-06 03:00:00,26.68875
2010-12-06 04:00:00,26.69625
2010-12-06 05:00:00,26.707499999999996
2010-12-06 06:00:00,26.715
2010-12-06 07:00:00,26.721666666666664
2010-12-06 08:00:00,26.734374999999996
2010-12-06 09:00:00,26.753958333333333
2010-12-06 10:00:00,26.774375
2010-12-06 11:00:00,26.798333333333336
2010-12-06 12:00:00,26.825625000000002
2010-12-06 13:00:00,26.846249999999998
